Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/16/2023,48.4592,12.5015,Germany,3.2,PV,operating,2022,,Western Europe,Europe,L817591,G820567,3.221
3/16/2023,48.7893,12.5895,Germany,1.6,PV,operating,2007,,Western Europe,Europe,L820639,G823654,3.203
3/16/2023,52.1846,11.5941,Germany,1.6,PV,pre-construction,2023,,Western Europe,Europe,L820640,G823655,2.997
3/16/2023,50.7507,8.6104,Germany,1.2,PV,operating,2022,,Western Europe,Europe,L820641,G823656,2.927
3/16/2023,52.855,11.0892,Germany,1.3,PV,operating,2022,,Western Europe,Europe,L820642,G823657,2.89
3/16/2023,52.3871,11.7208,Germany,1,PV,operating,2010,,Western Europe,Europe,L820643,G823658,2.908
3/16/2023,51.6124,12.2822,Germany,4.6,PV,operating,2011,,Western Europe,Europe,L820644,G823659,3.006
3/16/2023,49.1675,6.8263,Germany,2.6,PV,operating,2010,,Western Europe,Europe,L820645,G823660,3.035
3/16/2023,49.1652,6.8223,Germany,1.8,PV,operating,2010,,Western Europe,Europe,L820646,G823661,3.037
3/16/2023,50.0577,7.1327,Germany,2.2,PV,pre-construction,2023,,Western Europe,Europe,L820647,G823662,2.845
3/16/2023,54.6603,9.7395,Germany,8.6,PV,operating,2022,,Western Europe,Europe,L820649,G823664,2.836
3/16/2023,52.617,9.2044,Germany,2,PV,operating,2012,,Western Europe,Europe,L820663,G823678,2.847
3/16/2023,50.5458,12.9037,Germany,2.7,PV,operating,2011,,Western Europe,Europe,L820664,G823679,2.954
3/16/2023,50.5458,12.9037,Germany,2.4,PV,operating,2011,,Western Europe,Europe,L820665,G823680,2.954
3/16/2023,49.5659,9.9383,Germany,4.8,PV,pre-construction,2022,,Western Europe,Europe,L820666,G823681,3.141
3/16/2023,48.8196,12.1678,Germany,4.9,PV,operating,2013,,Western Europe,Europe,L820667,G823682,3.184
3/16/2023,48.8242,12.1686,Germany,4.3,PV,operating,2013,,Western Europe,Europe,L820668,G823683,3.184
3/16/2023,49.5886,12.4025,Germany,1.7,PV,operating,2012,,Western Europe,Europe,L820669,G823684,3.02
3/16/2023,51.4911,13.8772,Germany,8.4,PV,operating,2016,,Western Europe,Europe,L820670,G823685,2.975
3/16/2023,51.037,11.8848,Germany,5.8,PV,operating,2021,,Western Europe,Europe,L820671,G823686,3.045
3/16/2023,51.035,11.886,Germany,2.8,PV,operating,2021,,Western Europe,Europe,L820672,G823687,3.045
3/16/2023,50.5499,11.7908,Germany,1.5,PV,operating,2011,,Western Europe,Europe,L820674,G823689,2.951
3/16/2023,50.0762,11.5842,Germany,2.9,PV,operating,2015,,Western Europe,Europe,L820675,G823690,2.991
3/16/2023,51.7176,12.4048,Germany,1.1,PV,operating,2013,,Western Europe,Europe,L820677,G823692,2.945
3/16/2023,48.1417,10.958,Germany,2,PV,operating,2010,,Western Europe,Europe,L820678,G823693,3.3
3/16/2023,49.1947,10.1847,Germany,1.4,PV,operating,2012,,Western Europe,Europe,L820679,G823694,3.129
