Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Installation_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/21/2023,48.8433,4.5429,France,6,onshore,pre-construction,,,Western Europe,Europe,L920013,G924548,315.87155
4/3/2023,51.0181,6.7175,Germany,8,onshore,operating,2003,,Western Europe,Europe,L920047,G924595,391.4828
4/21/2023,53.8476,10.6688,Germany,2,onshore,operating,2019,,Western Europe,Europe,L920064,G924622,392.68948
4/18/2023,52.9847,7.4139,Germany,8,onshore,operating,2002,,Western Europe,Europe,L912773,G916071,497.2342
4/5/2023,52.4351,14.4816,Germany,8,onshore,operating,2018,,Western Europe,Europe,L908477,G911178,426.90274
4/13/2023,52.1913,9.749,Germany,6,onshore,operating,2010,,Western Europe,Europe,L910649,G924873,435.1932
3/13/2023,40.9432,26.114,Greece,8.4,onshore,pre-construction,,,Southern Europe,Europe,L908322,G911017,485.2735
3/9/2023,38.3074,22.8342,Greece,6,onshore,pre-construction,,,Southern Europe,Europe,L908227,G910920,995.6698
3/13/2023,41.1983,-8.0347,Portugal,3.3,onshore,operating,2006,,Southern Europe,Europe,L920607,G925315,664.8157
3/13/2023,39.1089,-9.1932,Portugal,6.9,onshore,operating,2005,,Southern Europe,Europe,L920608,G925316,327.14096
3/13/2023,40.1975,-7.8016,Portugal,2,onshore,operating,2011,,Southern Europe,Europe,L911468,G925317,268.83942
3/13/2023,40.1975,-7.8016,Portugal,2,onshore,operating,2012,,Southern Europe,Europe,L911468,G925318,268.83942
3/13/2023,38.8421,-9.2677,Portugal,6,onshore,operating,2007,,Southern Europe,Europe,L920609,G925319,455.40332
3/13/2023,38.9345,-9.1475,Portugal,5,onshore,operating,2008,,Southern Europe,Europe,L920610,G925320,439.65045
3/13/2023,41.6651,-8.0898,Portugal,1.2,onshore,operating,2002,,Southern Europe,Europe,L920611,G925322,355.2823
3/13/2023,41.6651,-8.0898,Portugal,1.2,onshore,operating,2003,,Southern Europe,Europe,L920611,G925323,355.2823
3/13/2023,40.6395,-8.6525,Portugal,4.5,onshore,operating,2003,,Southern Europe,Europe,L920612,G925324,283.35803
3/20/2023,41.4086,-7.799,Portugal,2.4,onshore,operating,2022,,Southern Europe,Europe,L908717,G925325,563.88336
3/13/2023,41.298,-7.7371,Portugal,1.6,onshore,operating,2006,,Southern Europe,Europe,L920613,G925326,126.20151
3/13/2023,39.2958,-7.3536,Portugal,8.2,onshore,operating,2014,,Southern Europe,Europe,L920614,G925327,261.3852
3/13/2023,41.0696,-7.5769,Portugal,1.5,onshore,operating,2015,,Southern Europe,Europe,L907707,G925328,322.92773
3/13/2023,41.0696,-7.5769,Portugal,4,onshore,operating,2013,,Southern Europe,Europe,L907707,G925329,322.92773
3/13/2023,41.0696,-7.5769,Portugal,2.4,onshore,operating,2013,,Southern Europe,Europe,L907707,G925330,322.92773
3/13/2023,41.0696,-7.5769,Portugal,1.5,onshore,operating,2013,,Southern Europe,Europe,L907707,G925331,322.92773
3/13/2023,41.0696,-7.5769,Portugal,6,onshore,operating,2013,,Southern Europe,Europe,L907707,G925332,322.92773
3/13/2023,41.0696,-7.5769,Portugal,5.7,onshore,operating,2013,,Southern Europe,Europe,L907707,G925333,322.92773
3/13/2023,41.0696,-7.5769,Portugal,4.5,onshore,operating,2013,,Southern Europe,Europe,L907707,G925334,322.92773
