Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
2/9/2023,45.7302,-0.7213,France,119.8,PV,operating,2013,,Western Europe,Europe,L816279,G819196,3.534
2/9/2023,47.0249,2.5753,France,88.5,PV,operating,2015,,Western Europe,Europe,L816292,G819210,3.325
2/9/2023,45.3429,1.8176,France,102,PV,operating,2014,,Western Europe,Europe,L816320,G819238,3.428
2/9/2023,46.0594,2.0489,France,90.4,PV,operating,2016,,Western Europe,Europe,L816378,G819296,3.374
2/9/2023,47.4655,4.7481,France,66.1,PV,operating,2014,,Western Europe,Europe,L816322,G819240,3.309
2/9/2023,48.4615,-2.7514,France,47.6,PV,operating,2011,,Western Europe,Europe,L816323,G819241,3.072
2/9/2023,46.5391,-0.2995,France,124.2,PV,operating,2015,,Western Europe,Europe,L816417,G819336,3.416
2/9/2023,45.1429,0.6321,France,91.8,PV,operating,2015,,Western Europe,Europe,L816428,G819347,3.483
2/9/2023,47.067,6.2356,France,42.5,PV,operating,2011,,Western Europe,Europe,L816430,G819349,3.407
2/9/2023,44.7295,5.2046,France,152.8,PV,operating,2013,,Western Europe,Europe,L816433,G819352,3.842
2/9/2023,48.5303,2.2393,France,18.8,PV,operating,2011,,Western Europe,Europe,L816455,G819374,3.167
2/9/2023,49.0756,0.9652,France,47.3,PV,operating,2010,,Western Europe,Europe,L816462,G819381,3.137
2/9/2023,48.4474,1.3999,France,48.1,PV,operating,,,Western Europe,Europe,L816463,G819382,3.22
2/9/2023,48.2451,-4.0441,France,68.3,PV,operating,2012,,Western Europe,Europe,L816483,G819402,2.992
2/9/2023,43.96,4.2976,France,138.3,PV,operating,2012,,Western Europe,Europe,L816515,G819441,4.125
2/9/2023,43.6955,0.4101,France,137.6,PV,operating,2015,,Western Europe,Europe,L816529,G819455,3.584
2/9/2023,44.8838,-0.6051,France,111.7,PV,operating,2011,,Western Europe,Europe,L816538,G819464,3.519
2/9/2023,47.8655,7.2315,France,82.1,PV,operating,2011,,Western Europe,Europe,L816571,G819499,3.339
2/9/2023,43.3055,0.9717,France,157.5,PV,operating,2012,,Western Europe,Europe,L816572,G819500,3.682
2/9/2023,45.0857,3.8338,France,70.4,PV,operating,2013,,Western Europe,Europe,L816574,G819502,3.609
2/9/2023,48.1329,5.2529,France,28.6,PV,operating,2014,,Western Europe,Europe,L816575,G819503,3.174
2/9/2023,46.0688,6.3445,France,64.9,PV,operating,2009,,Western Europe,Europe,L816577,G819505,3.546
2/9/2023,47.6384,6.0951,France,21.1,PV,operating,,,Western Europe,Europe,L816576,G819504,3.296
2/9/2023,45.919,1.2032,France,72.6,PV,operating,2015,,Western Europe,Europe,L816578,G819506,3.41
2/9/2023,44.6565,6.352,France,77.3,PV,operating,2015,,Western Europe,Europe,L816580,G819508,4.11
2/9/2023,43.1438,0.1587,France,42.9,PV,operating,2013,,Western Europe,Europe,L816581,G819509,3.568
2/9/2023,48.8402,2.1986,France,7.8,PV,operating,2012,,Western Europe,Europe,L816582,G819510,3.111
2/9/2023,43.5914,3.3553,France,168.5,PV,operating,,,Western Europe,Europe,L816587,G819515,3.937
2/9/2023,48.1728,-1.6498,France,115.4,PV,operating,2013,,Western Europe,Europe,L816603,G819531,3.143
2/9/2023,46.8121,1.5382,France,72.8,PV,operating,2016,,Western Europe,Europe,L816606,G819534,3.322
2/9/2023,47.2232,0.6867,France,46.5,PV,operating,2014,,Western Europe,Europe,L816607,G819535,3.324
2/9/2023,45.2898,5.6344,France,110.1,PV,operating,2011,,Western Europe,Europe,L816611,G819539,3.46
2/9/2023,46.7834,5.7833,France,26.3,PV,operating,,,Western Europe,Europe,L816632,G819560,3.476
2/9/2023,44.01,-0.6434,France,157.5,PV,operating,2013,,Western Europe,Europe,L816683,G819613,3.435
2/9/2023,47.6598,1.2972,France,42.6,PV,operating,2014,,Western Europe,Europe,L816767,G819710,3.277
2/9/2023,45.7539,4.0455,France,79.7,PV,operating,2012,,Western Europe,Europe,L816768,G819711,3.501
2/9/2023,47.3482,-1.8728,France,152.6,PV,operating,2012,,Western Europe,Europe,L816769,G819712,3.339
2/9/2023,47.9139,2.3075,France,34.6,PV,operating,2013,,Western Europe,Europe,L816770,G819713,3.152
2/9/2023,44.625,1.6658,France,59.6,PV,operating,2014,,Western Europe,Europe,L816773,G819716,3.619
2/9/2023,44.3692,0.4539,France,99.4,PV,operating,2014,,Western Europe,Europe,L816774,G819717,3.572
2/9/2023,44.5426,3.5211,France,34.4,PV,operating,2015,,Western Europe,Europe,L816780,G819723,3.768
2/9/2023,47.3886,-0.3909,France,152.6,PV,operating,2013,,Western Europe,Europe,L816791,G819734,3.305
2/9/2023,49.0919,-1.2455,France,42.1,PV,operating,2012,,Western Europe,Europe,L816795,G819738,3.059
2/9/2023,48.9613,4.3122,France,82,PV,operating,2014,,Western Europe,Europe,L816807,G819750,3.204
2/9/2023,48.1508,-0.6491,France,58.1,PV,operating,2012,,Western Europe,Europe,L816819,G819762,3.179
2/9/2023,48.956,5.987,France,45.4,PV,operating,2013,,Western Europe,Europe,L816829,G819772,3.12
2/9/2023,49.013,5.4287,France,21.3,PV,operating,2014,,Western Europe,Europe,L816830,G819773,3.109
2/9/2023,47.826,-2.7634,France,72.4,PV,operating,2013,,Western Europe,Europe,L816876,G819819,3.151
2/9/2023,49.0207,6.538,France,65,PV,operating,2011,,Western Europe,Europe,L816882,G819825,3.137
2/9/2023,47.1197,3.5449,France,39.4,PV,operating,2016,,Western Europe,Europe,L816906,G819849,3.305
2/9/2023,50.529,3.0884,France,64,PV,operating,2010,,Western Europe,Europe,L816914,G819857,2.983
2/9/2023,49.4121,2.4065,France,24.2,PV,operating,2011,,Western Europe,Europe,L816918,G819861,3.068
2/9/2023,48.5761,0.0447,France,37.7,PV,operating,2014,,Western Europe,Europe,L816935,G819880,3.095
2/9/2023,48.8589,2.32,France,5.6,PV,operating,2014,,Western Europe,Europe,L816950,G819895,3.124
2/9/2023,50.5144,2.258,France,46.8,PV,operating,2010,,Western Europe,Europe,L816956,G819902,3.015
2/9/2023,45.7715,3.084,France,97.1,PV,operating,2013,,Western Europe,Europe,L817029,G819975,3.444
2/9/2023,43.1872,-0.7283,France,130.5,PV,operating,2011,,Western Europe,Europe,L817035,G819981,3.266
2/9/2023,42.6259,2.5065,France,168.2,PV,operating,2014,,Western Europe,Europe,L817036,G819982,3.983
2/9/2023,45.8802,4.5645,France,84.9,PV,operating,2011,,Western Europe,Europe,L817050,G819996,3.458
2/9/2023,48.0269,0.2538,France,68.7,PV,operating,2012,,Western Europe,Europe,L817236,G820184,3.207
2/9/2023,45.4949,6.3847,France,31.5,PV,operating,2009,,Western Europe,Europe,L817246,G820194,3.821
2/9/2023,46.6557,4.5586,France,78.8,PV,operating,2015,,Western Europe,Europe,L817229,G820177,3.385
2/9/2023,49.6632,0.9401,France,33.1,PV,operating,2011,,Western Europe,Europe,L817253,G820203,3.057
2/9/2023,48.9098,2.4529,France,9.3,PV,operating,2010,,Western Europe,Europe,L817254,G820204,3.103
2/9/2023,48.619,3.0418,France,46.8,PV,operating,2012,,Western Europe,Europe,L817252,G820202,3.216
2/9/2023,49.969,2.3739,France,26,PV,operating,2011,,Western Europe,Europe,L817313,G820273,3.038
2/9/2023,43.7922,2.134,France,144.5,PV,operating,2013,,Western Europe,Europe,L817341,G820301,3.681
2/9/2023,44.0807,1.2051,France,83.7,PV,operating,2015,,Western Europe,Europe,L817342,G820302,3.602
2/9/2023,47.6292,6.8993,France,6.6,PV,operating,2010,,Western Europe,Europe,L817359,G820319,3.344
2/9/2023,49.0751,2.2098,France,10.2,PV,operating,2009,,Western Europe,Europe,L817402,G820364,3.064
2/9/2023,48.7745,2.4543,France,7.2,PV,operating,2010,,Western Europe,Europe,L817403,G820365,3.118
2/9/2023,43.4174,6.2665,France,109.1,PV,operating,2011,,Western Europe,Europe,L817417,G820379,4.252
2/9/2023,43.9939,5.1819,France,122.8,PV,operating,2013,,Western Europe,Europe,L817423,G820385,4.221
2/9/2023,46.6758,-1.2915,France,227,PV,operating,2013,,Western Europe,Europe,L817428,G820390,3.428
2/9/2023,46.6121,0.4654,France,158.6,PV,operating,2014,,Western Europe,Europe,L817443,G820405,3.352
2/9/2023,48.1638,6.3821,France,37.8,PV,operating,2011,,Western Europe,Europe,L817470,G820432,3.212
2/9/2023,47.8551,3.645,France,21.3,PV,operating,2012,,Western Europe,Europe,L817481,G820443,3.196
2/9/2023,48.762,1.8871,France,16.3,PV,operating,,,Western Europe,Europe,L817482,G820444,3.126
3/16/2023,48.5796,9.1094,Germany,7109.6,PV,operating,2014,,Western Europe,Europe,L817666,G820642,3.212
3/16/2023,48.8787,11.471,Germany,12566.5,PV,operating,2013,,Western Europe,Europe,L817667,G820643,3.103
3/16/2023,52.5082,13.4185,Germany,173.8,PV,operating,2016,,Western Europe,Europe,L817668,G820644,2.928
3/16/2023,52.3755,13.4695,Germany,1757.7,PV,operating,2016,,Western Europe,Europe,L817669,G820645,2.97
3/16/2023,53.1916,8.7354,Germany,61,PV,operating,2015,,Western Europe,Europe,L817670,G820646,2.787
3/16/2023,53.5274,10.0054,Germany,75.2,PV,operating,2016,,Western Europe,Europe,L817671,G820647,2.786
3/16/2023,50.5161,8.9737,Germany,2414.3,PV,operating,2014,,Western Europe,Europe,L817672,G820648,2.954
3/16/2023,53.7709,12.5694,Germany,1265.3,PV,operating,2016,,Western Europe,Europe,L817673,G820649,2.9
3/16/2023,52.7398,8.589,Germany,4623.8,PV,operating,2015,,Western Europe,Europe,L817674,G820650,2.844
3/16/2023,51.5991,7.4271,Germany,6730.5,PV,operating,2015,,Western Europe,Europe,L817675,G820651,2.881
3/16/2023,49.8914,7.5831,Germany,2279.7,PV,operating,2014,,Western Europe,Europe,L817676,G820652,2.987
3/16/2023,49.3636,7.0052,Germany,421.8,PV,operating,2014,,Western Europe,Europe,L817677,G820653,3.053
3/16/2023,51.0764,13.2147,Germany,1622.7,PV,operating,2016,,Western Europe,Europe,L817678,G820654,3.092
3/16/2023,51.9483,11.7104,Germany,1770,PV,operating,2016,,Western Europe,Europe,L817679,G820655,3.017
3/16/2023,54.2528,9.6036,Germany,1433.2,PV,operating,2013,,Western Europe,Europe,L817680,G820656,2.803
3/16/2023,50.9295,11.0666,Germany,1282.1,PV,operating,2016,,Western Europe,Europe,L817681,G820657,3.002
3/16/2023,48.4738,8.8915,Germany,72.8,PV,pre-construction,2022,,Western Europe,Europe,L817682,G820658,3.287
3/16/2023,48.6509,11.4553,Germany,90.8,PV,pre-construction,2022,,Western Europe,Europe,L817683,G820659,3.196
3/16/2023,52.5043,13.4368,Germany,7.7,PV,pre-construction,2022,,Western Europe,Europe,L817684,G820660,2.931
3/16/2023,52.6627,13.4347,Germany,24.4,PV,pre-construction,2022,,Western Europe,Europe,L817685,G820661,2.913
3/16/2023,53.1647,8.756,Germany,5.4,PV,pre-construction,2022,,Western Europe,Europe,L817686,G820662,2.797
3/16/2023,53.523,10.1481,Germany,5.4,PV,pre-construction,2023,,Western Europe,Europe,L817687,G820663,2.793
3/16/2023,50.4011,8.8622,Germany,29.8,PV,pre-construction,2022,,Western Europe,Europe,L817688,G820664,3.047
3/16/2023,53.7572,12.384,Germany,20.7,PV,pre-construction,2022,,Western Europe,Europe,L817689,G820665,2.885
3/16/2023,52.6627,9.1184,Germany,76.8,PV,pre-construction,2022,,Western Europe,Europe,L817690,G820666,2.854
3/16/2023,51.5551,7.4492,Germany,103.7,PV,pre-construction,2022,,Western Europe,Europe,L817691,G820667,2.874
3/16/2023,50.0327,7.7082,Germany,23.8,PV,pre-construction,2022,,Western Europe,Europe,L817692,G820668,3.021
3/16/2023,49.3491,6.9896,Germany,4.4,PV,pre-construction,2023,,Western Europe,Europe,L817693,G820669,3.041
3/16/2023,50.9661,12.955,Germany,25.3,PV,pre-construction,2022,,Western Europe,Europe,L817694,G820670,3.06
3/16/2023,51.781,11.8881,Germany,15.7,PV,pre-construction,2022,,Western Europe,Europe,L817695,G820671,3.022
3/16/2023,54.0523,9.9998,Germany,27.9,PV,pre-construction,2022,,Western Europe,Europe,L817696,G820672,2.79
3/16/2023,50.8346,10.8566,Germany,15.7,PV,pre-construction,2022,,Western Europe,Europe,L817697,G820673,2.992
